,Dates,Category,Descript,DayOfWeek,PdDistrict,Resolution,Address,X,Y
422083,2009-05-31 13:37:00,NON-CRIMINAL,"AIDED CASE, MENTAL DISTURBED",Sunday,PARK,NONE,1500 Block of HAIGHT ST,-122.44776112232,37.7698464875415
260657,2011-11-03 13:35:00,WARRANTS,ENROUTE TO OUTSIDE JURISDICTION,Thursday,TENDERLOIN,"ARREST, BOOKED",200 Block of LEAVENWORTH ST,-122.41421780432199,37.7832593295025
294367,2011-05-03 19:49:00,NON-CRIMINAL,"CIVIL SIDEWALKS, CITATION",Tuesday,PARK,"ARREST, CITED",1200 Block of MASONIC AV,-122.445181952651,37.76973596241511
263752,2011-10-19 16:38:00,DRUG/NARCOTIC,POSSESSION OF HEROIN FOR SALES,Wednesday,TENDERLOIN,"ARREST, BOOKED",200 Block of LEAVENWORTH ST,-122.414081138014,37.7832767266062
499630,2008-04-30 18:15:00,LARCENY/THEFT,GRAND THEFT FROM LOCKED AUTO,Wednesday,TARAVAL,NONE,19TH AV / WINSTON DR,-122.474899151688,37.7269905309861
204379,2012-08-25 02:30:00,ROBBERY,"ROBBERY ON THE STREET, STRONGARM",Saturday,NORTHERN,NONE,GEARY ST / POLK ST,-122.41973983780501,37.7858926099715
254203,2011-12-12 16:40:00,WARRANTS,ENROUTE TO PAROLE OFFICER,Monday,TENDERLOIN,"ARREST, BOOKED",100 Block of GOLDEN GATE AV,-122.413069926397,37.7820204255866
844461,2003-06-12 14:30:00,FRAUD,"CREDIT CARD, THEFT OF",Thursday,NORTHERN,NONE,1600 Block of VAN NESS AV,-122.422595167195,37.7908192270215
97050,2014-01-25 20:56:00,SUSPICIOUS OCC,INVESTIGATIVE DETENTION,Saturday,RICHMOND,NONE,4000 Block of BALBOA ST,-122.50214872850901,37.7755496261634
858968,2003-04-03 14:00:00,FRAUD,FRAUDULENT CREDIT APPLICATION,Thursday,SOUTHERN,NONE,100 Block of NATOMA ST,-122.399826049876,37.786300758747295
161320,2013-03-23 16:41:00,LARCENY/THEFT,PETTY THEFT OF PROPERTY,Saturday,NORTHERN,NONE,LOMBARD ST / FILLMORE ST,-122.43604920358601,37.79984122288229
458693,2008-11-24 23:30:00,NON-CRIMINAL,LOST PROPERTY,Monday,PARK,NONE,1900 Block of GROVE ST,-122.448702408792,37.7745073911555
705120,2005-05-18 09:32:00,NON-CRIMINAL,IMPOUNDED VEHICLE,Wednesday,INGLESIDE,NONE,3000 Block of ALEMANY BL,-122.454409729267,37.710517108365394
663032,2005-12-16 14:21:00,LARCENY/THEFT,PETTY THEFT FROM A BUILDING,Friday,PARK,"ARREST, CITED",2600 Block of GEARY BL,-122.446612978839,37.7822458223917
832387,2003-08-09 23:00:00,OTHER OFFENSES,LOST/STOLEN LICENSE PLATE,Saturday,INGLESIDE,NONE,100 Block of PRECITA AV,-122.417225757723,37.7471608234479
75645,2014-05-14 12:14:00,OTHER OFFENSES,VIOLATION OF STAY AWAY ORDER,Wednesday,SOUTHERN,"ARREST, BOOKED",MARKET ST / MASON ST,-122.408953598279,37.783287873572
478286,2008-08-20 13:00:00,WARRANTS,WARRANT ARREST,Wednesday,TENDERLOIN,"ARREST, BOOKED",200 Block of TURK ST,-122.413237516676,37.78284302332129
558048,2007-06-28 12:00:00,FORGERY/COUNTERFEITING,"CHECKS, FORGERY (FELONY)",Thursday,SOUTHERN,NONE,800 Block of BRYANT ST,-122.40340479147899,37.775420706711
755121,2004-08-21 08:00:00,NON-CRIMINAL,"DEATH REPORT, CAUSE UNKNOWN",Saturday,CENTRAL,NONE,700 Block of PACIFIC AV,-122.40801470384301,37.796699717573
425549,2009-05-15 08:00:00,NON-CRIMINAL,"DEATH REPORT, CAUSE UNKNOWN",Friday,MISSION,NONE,0 Block of RONDEL PL,-122.421249543257,37.7643357809244
